Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
483,S.F. Holding,China,38.67,1.0,31.15,38.26,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
484,Intuit,United States,13.68,1.95,27.2,119.5,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
485,Prudential Financial,United States,62.29,0.019,709.27,29.95,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
486,Salesforce,United States,31.35,0.208,102.58,197.59,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
487,China Coal Energy,China,32.9,2.98,48.85,11.32,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
488,FirstRand,South Africa,10.84,2.19,125.95,19.28,ZAF,ZA,RSA,RSA,-30.559482,22.937506,1,0,Q258,-29.0,24.0,South Africa,sovereign state in Southern Africa
489,Svenska Handelsbanken,Sweden,10.09,2.18,347.37,17.07,SWE,SE,SWE,SWE,60.128161,18.643501,1,0,Q34,61.0,15.0,Sweden,sovereign state in northern Europe
490,NetEase,China,14.34,2.93,24.85,56.68,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
491,Lenovo Group,Hong Kong,66.01,1.91,41.75,12.35,HKG,HK,HKG,HKG,22.396428,114.109497,1,0,Q8646,22.28,114.16,Hong Kong,special administrative region of China
492,New China Life Insurance,China,33.28,1.49,177.0,9.68,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
493,CME Group,United States,5.11,2.87,166.04,66.6,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
494,Recruit Holdings ,Japan,25.56,2.25,20.53,44.4,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
494,Tongwei,China,21.87,4.25,23.65,24.95,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
496,Swedbank,Sweden,8.78,2.39,292.81,19.0,SWE,SE,SWE,SWE,60.128161,18.643501,1,0,Q34,61.0,15.0,Sweden,sovereign state in northern Europe
497,BASF,Germany,87.6,-0.2974,93.59,48.04,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
